id,date_found,type,source,title,company,location,url,posted,tags
aec6481058bc,2026-05-14,job,RemoteOK,Engenharia Software Engineer III Golang,Stone,Remote,https://remoteOK.com/remote-jobs/remote-engenharia-software-engineer-iii-golang-stone-1131575,2026-05-13,software golang engineer
01c72033ddab,2026-05-14,job,RemoteOK,.NET Developer Advocate,JetBrains,Remote,https://remoteOK.com/remote-jobs/remote-net-developer-advocate-jetbrains-1131563,2026-05-12,developer frontend software testing backend digital nomad
9995c9090da6,2026-05-14,job,Arbeitnow,Software Engineer (Back-end & Computer Vision),StellDirVor GmbH,Remote,https://www.arbeitnow.com/jobs/companies/stelldirvor-gmbh/software-engineer-back-end-computer-vision-munich-286074,2026-05-13,Remote Software Development
104f250e4be5,2026-05-14,job,WeWorkRemotely,Software engineer,Sticker Mule,Remote,https://weworkremotely.com/remote-jobs/sticker-mule-software-engineer-3,2026-05-14,
abd89223a646,2026-05-14,job,GitHub/NewGrad,Software Engineer 1,Twitch,"Seattle, WA, SF",https://job-boards.greenhouse.io/twitch/jobs/8548960002?utm_source=Simplify&ref=Simplify,0d,
a8d596ac1f38,2026-05-14,job,GitHub/NewGrad,Software Engineer 1,Cadence Design Systems,"San Jose, CA",https://cadence.wd1.myworkdayjobs.com/External_Careers/job/SAN-JOSE/Software-Engineer-I_R54764-1?utm_source=Simplify&ref=Simplify,0d,
f41f0e313d8b,2026-05-14,job,GitHub/NewGrad,Entry Level Software Engineer,General Dynamics Mission Systems,"Bremerton, WA",https://careers-gdms.icims.com/jobs/72599/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,0d,
604f32541742,2026-05-14,job,GitHub/NewGrad,Software Engineer 1,Cadence Design Systems,"San Jose, CA",https://cadence.wd1.myworkdayjobs.com/Univ_Careers/job/SAN-JOSE/Software-Engineer-I_R54764?utm_source=Simplify&ref=Simplify,0d,
99a0acfbc727,2026-05-14,job,GitHub/NewGrad,Software Engineer 1,Berkshire Hathaway Energy,"Salt Lake City, UT",https://fa-essf-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/10004999?utm_source=Simplify&ref=Simplify,0d,
32daf1da366f,2026-05-14,job,GitHub/NewGrad,Software Engineer 1,Uber,"Sunnyvale, CA",https://www.uber.com/global/en/careers/list/158657/?utm_source=Simplify&ref=Simplify,0d,
4b2303f51944,2026-05-14,job,GitHub/NewGrad,Software Engineer 1,TSC,"Silver Spring, MD",https://tsc.wd12.myworkdayjobs.com/en-US/TSC-Careers/job/Silver-Spring-MD/Software-Engineer-I_JR2567-1?utm_source=Simplify&ref=Simplify,0d,
