id,date_found,type,source,title,company,location,url,posted,tags,work_mode,job_type,experience,category
7485ed275ada,2026-09-23,job,GitHub/NewGrad,Software Engineer 1,Honeywell,"Duluth, GA",https://ibqbjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Honeywell/job/157648?utm_source=Simplify&ref=Simplify,0d,,onsite,,,
7600d8d41055,2026-09-23,job,GitHub/NewGrad,Software Engineer New Grad,Authentic,NYC,https://job-boards.greenhouse.io/authenticinsurance/jobs/4114318009?utm_source=Simplify&ref=Simplify,0d,,onsite,,,
d22e4839b71f,2026-09-23,job,GitHub/NewGrad,Compiler Software Engineer 1 - Core Platform Software and Toolchains,Cisco,"Austin, TX",https://careers.cisco.com/global/en/job/2025313?utm_source=Simplify&ref=Simplify,0d,,onsite,,,
a1d9e63ac26f,2026-09-23,job,GitHub/NewGrad,Junior Software Developer,DecisionPoint,"Scott AFB, IL",https://careers-decisionpointcorp.icims.com/jobs/3786/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,0d,,onsite,,,
48586ad2a9c1,2026-09-23,job,GitHub/NewGrad,Product/Test Engineer 1 - Networking & Connectivity Solutions,Microchip Technology,"Austin, TX",https://wd5.myworkdaysite.com/recruiting/microchiphr/External/job/TX---Austin---Park-Centre/Engineer-I-Product-Test_R4032-26?utm_source=Simplify&ref=Simplify,1d,,onsite,,,
98fb2c24f83d,2026-09-23,job,GitHub/Internship,Software Engineering Intern,Excellus BCBS,"6 locations, Rochester, NY, De Witt, NY, Utica, NY, Albany, NY, Binghamton, NY, Buffalo, NY",https://lthc.wd1.myworkdayjobs.com/en-US/ExcellusBCBSCareers/job/Rochester/College-Intern---Summer-2027---Software-Engineering--Multiple-Openings-Available-_JR104022-1?utm_source=Simplify&ref=Simplify,0d,,onsite,,,
ce139cb728d3,2026-09-23,job,GitHub/Internship,College Intern - Mobile Software Engineering Team,Excellus BCBS,"6 locations, Rochester, NY, De Witt, NY, Utica, NY, Albany, NY, Binghamton, NY, Buffalo, NY",https://lthc.wd1.myworkdayjobs.com/en-US/ExcellusBCBSCareers/job/Rochester/College-Intern---Summer-2027---Mobile-Software-Engineering-Team_JR104025-3?utm_source=Simplify&ref=Simplify,0d,,onsite,,,
c54d6bce9f3c,2026-09-23,job,GitHub/Internship,Software Engineer Intern - Summer 2027,CACI,"Sterling, VA",https://caci.wd1.myworkdayjobs.com/external/job/Sterling-VA-US/Software-Engineering-Intern---Summer-2027_332372?utm_source=Simplify&ref=Simplify,0d,,onsite,,,
acd8c276f886,2026-09-23,job,GitHub/Internship,Software Engineer Intern,Grow Therapy,NYC,https://jobs.ashbyhq.com/grow-therapy/92bfe88a-4c23-48c8-8f7b-4959ab6cd8d8/application?embed=true&utm_source=Simplify&ref=Simplify,0d,,onsite,,,
1d9364404d2a,2026-09-23,job,GitHub/Internship,Full Stack Software Engineer Intern,Rippling,"Seattle, WA, SF, NYC",https://ats.rippling.com/rippling/jobs/f64b6158-9534-4bab-9457-45556166b262?utm_source=Simplify&ref=Simplify,0d,,onsite,,,
8bef8a493309,2026-09-23,job,GitHub/Internship,Software Engineer Intern - Backend Focused,Rippling,"Seattle, WA, SF, NYC",https://ats.rippling.com/rippling/jobs/a07e4e46-3721-4934-b57b-0d58412e22ba?utm_source=Simplify&ref=Simplify,0d,,onsite,,,
b25cff3e1aad,2026-09-23,job,GitHub/Internship,Software Engineer Intern - Enterprise Technology Services,American Express,"Salt Lake City, UT",https://egug.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26014224?utm_source=Simplify&ref=Simplify,0d,,onsite,,,
6c6330ec242c,2026-09-23,job,GitHub/Internship,Software Engineer Intern - Process Systems and Solutions,Emerson Electric,"Round Rock, TX",https://hdjq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26011295?utm_source=Simplify&ref=Simplify,0d,,onsite,,,
01e4d8d2ce00,2026-09-23,job,GitHub/Internship,Software Engineer Intern,RTX,"East Hartford, CT",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-CT-EAST-HARTFORD-G--400-Main-St--BLDG-G/Summer-2027-Software-Engineering-Intern--Onsite-_01873645?utm_source=Simplify&ref=Simplify,1d,,onsite,,,
8acd674afbad,2026-09-23,job,GitHub/Internship,Operations Software Engineering Intern - Summer 2027,RTX,"Burnsville, MN",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-MN-BURNSVILLE-WEST--14300-Judicial-Rd--WEST-BLDG/Operations-Software-Engineering-Intern--Summer-2027-_01874620?utm_source=Simplify&ref=Simplify,1d,,onsite,,,
448fc312f3a8,2026-09-23,job,GitHub/Internship,Software Developer Intern - Cyber & Analytics Business Area,Leidos,"Annapolis Junction, MD",https://leidos.wd5.myworkdayjobs.com/External/job/Annapolis-Junction-MD/Software-Developer-Intern_R-00192858?utm_source=Simplify&ref=Simplify,1d,,onsite,,,
083419673af6,2026-09-23,job,GitHub/Internship,Software Engineer Intern,CACI,"Sterling, VA",https://caci.wd1.myworkdayjobs.com/external/job/Sterling-VA-US/Software-Engineering-Intern---Summer-2027_332386?utm_source=Simplify&ref=Simplify,1d,,onsite,,,
b66d58a3be1d,2026-09-23,job,GitHub/Internship,IT Data Engineer Intern,West Bend Insurance,"Madison, WI, West Bend, WI",https://careers-thesilverlining.icims.com/jobs/3759/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,0d,,onsite,,,
2e43638a3db9,2026-09-23,job,GitHub/Internship,AI/ML Engineer Intern,USAA,"Plano, TX",https://usaa.wd1.myworkdayjobs.com/en-US/USAAJOBSWD/job/Plano-Legacy/AI-ML-Engineer-Intern_R0121196?utm_source=Simplify&ref=Simplify,1d,,onsite,,,
715b1fd0f6a1,2026-09-23,job,Greenhouse,Full Stack Software Engineer,SpaceX,"Starbase, TX",https://boards.greenhouse.io/spacex/jobs/8837547002?gh_jid=8837547002,2026-09-23,,onsite,,,
d09fb7c7fd7f,2026-09-23,job,Ashby,"Fullstack Software Engineer, Child Safety Tools & Systems",Openai,San Francisco,https://jobs.ashbyhq.com/openai/ac442f1f-c0d2-4608-a155-bfc89190e01c,2026-09-22,Intelligence & Investigations,onsite,,,
54ccd0642532,2026-09-23,job,Greenhouse,Software Engineer - Next.js,Vercel,"Hybrid - San Francisco, New York City",https://job-boards.greenhouse.io/vercel/jobs/6137958004,2026-09-02,,hybrid,,,
c36624d79862,2026-09-23,job,RemoteOK,Software Developer Security Analytics,RedMimicry,Remote,https://remoteOK.com/remote-jobs/remote-software-developer-security-analytics-redmimicry-1137417,2026-09-22,golang infosec dev stats full time digital nomad,remote,,,
078449eeed2a,2026-09-23,job,Arbeitnow,Integration Solutions Engineer (m/w/d) – Remote (EU),epilot GmbH,Remote,https://www.arbeitnow.com/jobs/companies/epilot-gmbh/integration-solutions-engineer-remote-eu-koln-379113,2026-09-23,Tech Remote,remote,,,
62bf13b6e4ad,2026-09-23,job,Arbeitnow,Software Engineer II - Full Stack - Web Engineering,Elastic,,https://www.arbeitnow.co.uk/jobs/companies/elastic/software-engineer-ii-full-stack-web-engineering-365481,2026-09-23,Web and Localization,remote,,,
d0ac8d3ac432,2026-09-23,job,Arbeitnow,Python Backend Developer (m/w/d) - Schwerpunkt KI-Plattform,IT Studio Rech GmbH,Remote,https://www.arbeitnow.com/jobs/companies/it-studio-rech-gmbh/python-backend-developer-schwerpunkt-ki-plattform-wurzburg-307525,2026-09-23,Remote Software Development,remote,,,
c3ab63d95f2d,2026-09-23,job,Arbeitnow,"Contract Software Engineer - WebCompat Tooling (Dashboards and Reporting), Firefox",mozilla,,https://www.arbeitnow.co.uk/jobs/companies/mozilla/contract-software-engineer-webcompat-tooling-dashboards-and-reporting-firefox-138520,2026-09-23,Firefox,remote,,,
b930925323e3,2026-09-23,job,Arbeitnow,Contract Software Engineer - DOM Core Firefox/Gecko,mozilla,,https://www.arbeitnow.co.uk/jobs/companies/mozilla/contract-software-engineer-dom-core-firefox-gecko-416660,2026-09-23,Firefox,remote,,,
bcd04dae824b,2026-09-23,job,Arbeitnow,Site Reliability Engineer,Ensono,,https://www.arbeitnow.co.uk/jobs/companies/ensono/site-reliability-engineer-450481,2026-09-23,E7002 AMS SRE - CoR,remote,,,
